	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c22091	16	-1	44	-1	0	-1	-1	0	-1	0	-1	-1	14	24	0	-1	4	-1	1	0	0	-1	7	0	7	39	-1	1	38	15
c22095	-1	0	44	-1	0	0	0	32	1	1	0	-1	0	0	0	-1	4	-1	0	0	0	10	0	-1	0	0	-1	7	-1	-1
c22140	-1	1	44	-1	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	9	0	0	0	-1	0	32	7	38	-1
c22154	0	-1	-1	50	0	13	0	0	0	0	-1	4	-1	0	0	-1	1	-1	0	0	0	0	0	-1	23	0	0	0	1	0
c22185	-1	0	40	37	23	0	0	-1	-1	22	0	-1	0	0	0	49	0	0	0	-1	0	0	0	-1	21	0	19	0	0	0
c22188	0	0	32	-1	0	-1	0	0	-1	-1	-1	-1	0	39	0	25	0	-1	-1	13	0	0	0	-1	-1	0	0	0	-1	0
c22335	0	-1	33	32	45	32	32	0	0	0	-1	0	2	0	0	1	0	10	0	0	0	32	19	-1	24	0	22	-1	-1	-1
c22358	-1	-1	44	0	0	15	0	-1	0	30	-1	0	0	-1	0	-1	4	0	0	0	-1	0	0	0	-1	0	13	-1	38	15
c22361	35	-1	0	25	0	-1	0	12	0	0	0	13	-1	0	0	0	1	0	-1	-1	29	-1	0	0	0	-1	0	10	0	0
c22391	19	0	44	0	-1	0	0	-1	0	0	-1	-1	0	7	0	0	4	-1	0	32	15	0	-1	35	7	-1	13	0	38	15
c22412	0	-1	43	0	32	0	43	-1	0	0	0	-1	0	0	0	-1	30	0	0	0	0	0	0	13	-1	-1	0	13	10	0
c22427	0	0	-1	-1	19	0	33	0	0	-1	30	-1	0	0	0	0	1	0	32	0	0	0	0	39	0	0	9	10	-1	0
c22513	0	0	-1	-1	0	0	0	0	0	0	0	32	0	0	32	-1	1	0	-1	7	0	0	0	0	48	48	-1	7	-1	0
c22559	0	0	0	19	0	0	0	13	-1	0	0	0	0	-1	49	0	-1	-1	0	0	-1	0	0	-1	0	-1	0	39	0	0
c22571	48	13	0	19	0	0	0	-1	1	0	0	-1	0	0	33	43	-1	0	0	0	-1	0	0	0	0	0	0	0	10	-1
c22601	0	0	-1	0	0	0	48	-1	0	0	-1	-1	0	-1	48	-1	-1	0	0	-1	-1	0	36	0	21	0	-1	-1	-1	50
c22637	0	0	44	0	0	0	0	0	0	0	-1	23	0	0	-1	-1	4	0	0	-1	0	0	30	13	0	-1	33	7	-1	15
c22658	0	15	44	0	0	0	22	-1	14	-1	-1	13	11	-1	9	0	4	0	7	35	21	0	0	-1	0	0	2	0	38	15
c22698	0	0	44	23	0	0	0	-1	0	0	0	0	-1	-1	0	-1	4	0	0	0	0	-1	0	-1	-1	0	-1	-1	-1	15
c22724	0	-1	-1	0	-1	49	0	-1	-1	0	0	-1	32	0	0	0	4	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	15
c22744	0	-1	-1	-1	0	-1	0	-1	30	0	0	-1	0	0	0	49	-1	0	0	15	-1	22	39	0	21	0	-1	0	0	32
c22823	48	23	0	-1	-1	0	-1	0	-1	0	19	0	8	13	-1	0	-1	0	0	0	-1	41	0	0	0	0	0	-1	0	0
c22861	0	-1	0	-1	24	-1	14	23	0	20	-1	0	0	0	-1	-1	0	0	-1	-1	-1	9	19	0	24	0	0	0	39	0
c22926	0	0	0	0	0	20	0	7	30	-1	19	-1	0	-1	0	49	48	-1	-1	0	-1	0	-1	0	21	32	0	48	1	-1
c22962	-1	7	44	0	0	-1	0	0	0	0	48	0	0	50	0	-1	4	19	-1	36	0	8	0	4	0	0	0	7	38	-1
c22971	0	0	0	0	-1	-1	0	0	-1	0	0	-1	0	-1	0	0	19	0	0	13	0	-1	0	0	0	0	-1	0	-1	-1
c23003	0	14	40	37	23	0	48	-1	0	22	0	-1	2	0	0	-1	0	1	32	-1	0	0	-1	15	21	0	-1	0	0	-1
c23014	0	0	-1	30	0	-1	0	-1	-1	0	0	-1	-1	0	5	49	0	0	-1	0	-1	0	36	-1	-1	-1	-1	-1	-1	50
c23039	-1	0	44	-1	0	32	0	7	20	0	0	0	32	-1	31	-1	4	0	0	-1	-1	0	0	-1	13	0	0	0	38	15
c23060	0	0	-1	0	0	0	0	-1	20	-1	0	-1	32	0	0	0	4	2	0	0	-1	0	0	-1	0	0	0	-1	38	15
c23200	0	0	0	-1	44	0	-1	-1	-1	0	0	-1	0	0	0	49	32	-1	-1	-1	12	32	-1	0	21	0	-1	0	0	22
c23225	0	-1	0	0	0	0	0	-1	0	18	-1	0	-1	0	0	0	1	0	0	47	39	-1	-1	19	4	38	0	-1	-1	-1
