tree_index	node_name	label
13	node125	{'NMPs', 'Somite', 'NeuralTube'}
0	node126	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node126	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
2	node126	{'NMPs', 'Somite', 'NeuralTube'}
4	node126	{'NMPs', 'Somite', 'NeuralTube'}
9	node126	{'NeuralTube', 'Somite'}
1	node127	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
11	node127	{'NMPs', 'Somite', 'NeuralTube'}
13	node127	{'NeuralTube', 'Somite'}
8	node127	{'NMPs', 'Somite', 'NeuralTube'}
9	node127	{'NMPs', 'Somite', 'NeuralTube'}
4	node128	{'NeuralTube', 'Somite'}
5	node128	{'NMPs', 'Somite', 'NeuralTube'}
8	node128	{'NMPs', 'Somite', 'NeuralTube'}
0	node129	{'NeuralTube', 'Somite'}
11	node129	{'NeuralTube', 'Somite'}
13	node129	{'NeuralTube', 'Somite'}
2	node129	{'NMPs', 'Somite', 'NeuralTube'}
4	node129	{'NMPs', 'Somite', 'NeuralTube'}
5	node129	{'NMPs', 'Somite', 'NeuralTube'}
8	node129	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
9	node129	{'NeuralTube', 'Somite'}
0	node13	{'NeuralTube', 'Somite'}
1	node13	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
10	node13	{'NeuralTube', 'Somite'}
11	node13	{'NMPs', 'Somite', 'NeuralTube'}
12	node13	{'NeuralTube', 'Somite'}
13	node13	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
2	node13	{'NeuralTube', 'Somite'}
3	node13	{'NeuralTube', 'Somite'}
4	node13	{'NeuralTube', 'Somite'}
5	node13	{'NMPs', 'Somite', 'NeuralTube'}
6	node13	{'NMPs', 'Somite', 'NeuralTube'}
9	node13	{'NMPs', 'Somite', 'NeuralTube'}
0	node130	{'NeuralTube', 'Somite'}
1	node130	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
2	node130	{'NeuralTube', 'Somite'}
4	node130	{'NMPs', 'Somite', 'NeuralTube'}
5	node130	{'NMPs', 'Somite', 'NeuralTube'}
8	node130	{'NMPs', 'Somite', 'NeuralTube'}
0	node131	{'NeuralTube', 'Somite'}
1	node131	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
5	node131	{'NMPs', 'Somite', 'NeuralTube'}
0	node132	{'NMPs', 'Somite', 'NeuralTube'}
1	node132	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node132	{'NeuralTube', 'Somite'}
5	node132	{'NeuralTube', 'Somite'}
